video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=N32p9ncZ1hw&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@viphamy,vi pham,"HOI AN Vlog 🪷🇻🇳| cafe hopping, night markets, Ba Na Hills, 5 day Vietnam travel vlog",5K,7 months,Hi friends! Welcome to the third episode of my Vietnam diaries! We'll be visiting the city of Lanterns aka Hoi An! This was my ...,2026-01-21 22:43:38.694554
/shorts/keXXf7b1uqw,/@karenexplores,Karen Explores,"8 THINGS TO DO IN HOI AN, VIETNAM 🏮✨| Hoi An Itinerary #vietnamtravel #hộian #vietnamesefood",402K,1 year,... dishes that are exclusive to Central Vietnam and Hoang seek there is an abundance of charming cafes in hang and finding one ...,2026-01-21 22:43:38.696061
/watch?v=rDhCOfO3aI0&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@danny_and_diggy,Danny & Diggy,What is like HOI AN VIETNAM 2025 (with PRICES),11K,3 months,Hey! We are travel couple who love to travel and eat a lot of good food In this video we will show you what is like Hoi An ...,2026-01-21 22:43:38.697938
/watch?v=LwQkm6VwWXc&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@MaliaRamos,Malia Ramos,"VIETNAM diaries 🇻🇳 4 days in da nang itineray, hoi an day trip, local eats, ba na hills + prices",73K,8 months,"come with me to da nang, vietnam finally kicking off our first leg of our trip in central vietnam where we explored the beaches ...",2026-01-21 22:43:38.699932
/watch?v=ZPQwDxCvhV8&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@thecenzons,The Cenzons,Hoi An Vietnam for first timers | Activities plus hotel Travel Guide AUG 2025,21K,4 months,"Thank you for watching Hoi An Vietnam first episode! See you on the next one! For more Vietnam travel tips, please check ...",2026-01-21 22:43:38.701302
/watch?v=OfLWoRJ9pBo&pp=ygUOSG9pIEFuIFZpZXRuYW3SBwkJhwoBhyohjO8%3D,/@ririRegine,Riri Travels,VIETNAM VLOG | 7 days in Ninh Binh & Hoi An,255K,1 year,"Ninh Binh deserves more than just a day trip. Join me in spending 4 days there, then we take a flight and head down to the ...",2026-01-21 22:43:38.703369
/watch?v=4m-p3HF5W0M&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@FloraandNote,Flora and Note,Ultimate HOI AN STREET FOOD Tour 🇻🇳 (Eating Like A Local In Vietnam),165K,2 years,Travelpayouts is a must for travel bloggers who want to have an additional source of income. Click and register here ...,2026-01-21 22:43:38.706157
/watch?v=fNOfkNc9AJE&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@Benn_TK,Benn TK,"Hoi An, Vietnam, The most BEAUTIFUL City in the world (City of lanterns)",1M,8 years,"Hoi an is a beautiful town located towards the middle of Vietnam on the coast, 45 min away from the city of Da Nang, this is a must ...",2026-01-21 22:43:38.707534
/watch?v=KBRq1oW7eBQ&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@HungryTwoTravel,Hungry Two Travel,"ULTIMATE Vietnamese Street Food Tour in Hoi An, Vietnam 🇻🇳 Most UNDERRATED Food City in Vietnam?",19K,7 months,"Ultimate Vietnamese street food tour in Hoi An, Vietnam. Is this the most underrated food city in Vietnam? SUBSCRIBE FOR ...",2026-01-21 22:43:38.709607
/watch?v=2Yp7EEEkRtw&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@overkillsingapore,Overkill Singapore,"What To Do And Eat In Da Nang and Hoi An, Vietnam! | 5D4N Travel Guide",229K,2 years,"Our new series is all about exploration and unforgettable experiences. In each episode, we're sending a team - one host, one ...",2026-01-21 22:43:38.711539
